Date,DAU
2023-09-28,17509
2023-09-29,25473
2023-09-30,21338
2023-10-01,21373
2023-10-02,36479
2023-10-03,21045
2023-10-04,36136
2023-10-05,21950
2023-10-06,30834
2023-10-07,26815
2023-10-08,22496
2023-10-09,38337
2023-10-10,48212
2023-10-11,30093
2023-10-12,50289
2023-10-13,25847
2023-10-14,19160
2023-10-15,19543
2023-10-16,23000
2023-10-17,41147
2023-10-18,33558
2023-10-19,28200
2023-10-20,44589
2023-10-21,21530
2023-10-22,20555
2023-10-23,23447
2023-10-24,50871
2023-10-25,47964
2023-10-26,23898
2023-10-27,19138
2023-10-28,17411
2023-10-29,17990
2023-10-30,96949
2023-10-31,22139
2023-11-01,72035
2023-11-02,24241
2023-11-03,20109
2023-11-04,18338
2023-11-05,20413
2023-11-06,85745
2023-11-07,25473
2023-11-08,25139
2023-11-09,36481
2023-11-10,51776
2023-11-11,40219
2023-11-12,46713
2023-11-13,87951
2023-11-14,40742
2023-11-15,32573
2023-11-16,31156
2023-11-17,30007
2023-11-18,28769
2023-11-19,30329
2023-11-20,31263
2023-11-21,30849
2023-11-22,31758
2023-11-23,57357
2023-11-24,35066
2023-11-25,26416
2023-11-26,25371
2023-11-27,28488
2023-11-28,28858
2023-11-29,27556
2023-11-30,30985
2023-12-01,32908
2023-12-02,31561
2023-12-03,29584
2023-12-04,33439
2023-12-05,33323
2023-12-06,28985
2023-12-07,29601
2023-12-08,50681
2023-12-09,39195
2023-12-10,34079
2023-12-11,35428
2023-12-12,37982
2023-12-13,49924
2023-12-14,31228
2023-12-15,37494
2023-12-16,27990
2023-12-17,25588
2023-12-18,32474
2023-12-19,28553
2023-12-20,27095
2023-12-21,34579
2023-12-22,51456
2023-12-23,40252
2023-12-24,98297
2023-12-25,123827
2023-12-26,103954
2023-12-27,190341
2023-12-28,382706
2023-12-29,268508
2023-12-30,49263
2023-12-31,61525
2024-01-01,35757
2024-01-02,44251
2024-01-03,51396
2024-01-04,31103
2024-01-05,30710
2024-01-06,29648
2024-01-07,29196
2024-01-08,31648
2024-01-09,32412
2024-01-10,31904
2024-01-11,35397
2024-01-12,34386
2024-01-13,29590
2024-01-14,33019
2024-01-15,33977
2024-01-16,29644
2024-01-17,33288
2024-01-18,30975
2024-01-19,39368
2024-01-20,36637
2024-01-21,32905
2024-01-22,33032
2024-01-23,62602
2024-01-24,68005
2024-01-25,37695
2024-01-26,34424
2024-01-27,32386
2024-01-28,29946
2024-01-29,33420
2024-01-30,37025
2024-01-31,38716
2024-02-01,32993
2024-02-02,30672
2024-02-03,36400
2024-02-04,31420
2024-02-05,31891
2024-02-06,30656
2024-02-07,32028
2024-02-08,33611
2024-02-09,33554
2024-02-10,47401
2024-02-11,32944
2024-02-12,32348
2024-02-13,41286
2024-02-14,35636
2024-02-15,50788
2024-02-16,39513
2024-02-17,33842
2024-02-18,30814
2024-02-19,35618
2024-02-20,52768
2024-02-21,69462
2024-02-22,38088
2024-02-23,34424
2024-02-24,34757
2024-02-25,35936
2024-02-26,35888
2024-02-27,40860
2024-02-28,43272
2024-02-29,40187
2024-03-01,40686
2024-03-02,42063
2024-03-03,38008
2024-03-04,44411
2024-03-05,43263
2024-03-06,40951
2024-03-07,55860
2024-03-08,39820
2024-03-09,39816
2024-03-10,36566
2024-03-11,39203
2024-03-12,45285
2024-03-13,51146
2024-03-14,60778
2024-03-15,48598
2024-03-16,49227
2024-03-17,45009
2024-03-18,48724
2024-03-19,49416
2024-03-20,54080
2024-03-21,61379
2024-03-22,46605
2024-03-23,48390
2024-03-24,54835
2024-03-25,52360
2024-03-26,50668
2024-03-27,51258
2024-03-28,50885
2024-03-29,46306
2024-03-30,43902
2024-03-31,49610
2024-04-01,154715
2024-04-02,56059
2024-04-03,319164
2024-04-04,62468
2024-04-05,207785
2024-04-06,36241
2024-04-07,29882
2024-04-08,33988
2024-04-09,27864
2024-04-10,32813
2024-04-11,24752
2024-04-12,31457
2024-04-13,30999
2024-04-14,26926
2024-04-15,29704
2024-04-16,38394
2024-04-17,30544
2024-04-18,78651
2024-04-19,63381
2024-04-20,31392
2024-04-21,25207
2024-04-22,38137
2024-04-23,28999
2024-04-24,37817
2024-04-25,36074
2024-04-26,32205
2024-04-27,29445
2024-04-28,26650
2024-04-29,28210
2024-04-30,35083
2024-05-01,28812
2024-05-02,27228
2024-05-03,29473
2024-05-04,30239
2024-05-05,25241
2024-05-06,29399
2024-05-07,31504
2024-05-08,36385
2024-05-09,33690
2024-05-10,36125
2024-05-11,33899
2024-05-12,31709
2024-05-13,35931
2024-05-14,40883
2024-05-15,40691
2024-05-16,39859
2024-05-17,36180
2024-05-18,35066
2024-05-19,33015
2024-05-20,36039
2024-05-21,33193
2024-05-22,39225
2024-05-23,35817
2024-05-24,40771
2024-05-25,37120
2024-05-26,33007
2024-05-27,34797
2024-05-28,36866
2024-05-29,41151
2024-05-30,39870
2024-05-31,42115
2024-06-01,46465
2024-06-02,54430
2024-06-03,51952
2024-06-04,59105
2024-06-05,80072
2024-06-06,38578
2024-06-07,49828
2024-06-08,45118
2024-06-09,37614
2024-06-10,35243
2024-06-11,102476
2024-06-12,76663
2024-06-13,48453
2024-06-14,48496
2024-06-15,43779
2024-06-16,33992
2024-06-17,34729
2024-06-18,44451
2024-06-19,41377
2024-06-20,40485
2024-06-21,35350
2024-06-22,33348
2024-06-23,43770
2024-06-24,38583
2024-06-25,36646
2024-06-26,51260
2024-06-27,41259
2024-06-28,216821
2024-06-29,55400
2024-06-30,42198
2024-07-01,38178
2024-07-02,42485
2024-07-03,41155
2024-07-04,44663
2024-07-05,37512
2024-07-06,40330
2024-07-07,30312
2024-07-08,41965
2024-07-09,44233
2024-07-10,43371
2024-07-11,40083
2024-07-12,31928
2024-07-13,32440
2024-07-14,24628
2024-07-15,144199
2024-07-16,50707
2024-07-17,62432
2024-07-18,62405
2024-07-19,50802
2024-07-20,65852
2024-07-21,53955
2024-07-22,55734
2024-07-23,60648
2024-07-24,58992
2024-07-25,67548
2024-07-26,76195
2024-07-27,42451
2024-07-28,45278
2024-07-29,53862
2024-07-30,66309
2024-07-31,57366
2024-08-01,56744
2024-08-02,54299
2024-08-03,41328
2024-08-04,53232
2024-08-05,51961
2024-08-06,66205
2024-08-07,53086
2024-08-08,39479
2024-08-09,44447
2024-08-10,27430
2024-08-11,41184
2024-08-12,38753
2024-08-13,53834
2024-08-14,45058
2024-08-15,64781
2024-08-16,58152
2024-08-17,55416
2024-08-18,48693
2024-08-19,53231
2024-08-20,62765
2024-08-21,51044
2024-08-22,60438
2024-08-23,54086
2024-08-24,56221
2024-08-25,59389
2024-08-26,51760
2024-08-27,62677
2024-08-28,55984
2024-08-29,56885
2024-08-30,55281
2024-08-31,56577
2024-09-01,51370
2024-09-02,55809
2024-09-03,51768
2024-09-04,57042
2024-09-05,56968
2024-09-06,55344
2024-09-07,53358
2024-09-08,48931
2024-09-09,51428
2024-09-10,59550
2024-09-11,58502
2024-09-12,54776
2024-09-13,54054
2024-09-14,53742
2024-09-15,50287
2024-09-16,55911
2024-09-17,55972
2024-09-18,67970
2024-09-19,93377
2024-09-20,175443
2024-09-21,101976
2024-09-22,75992
2024-09-23,75299
2024-09-24,38805
