Timestamp,Date,USDT,KUSD,USDTZ,UUSD,EURL,VEUR,Total
1673740800,2023-01-15,40782008,1314313,442553,11833624,4608490,,58980988
1673827200,2023-01-16,40793907,1319604,444156,11737430,4608490,,58903587
1673913600,2023-01-17,40783106,1303413,437759,11802823,4603388,,58930489
1674000000,2023-01-18,40787344,1302302,437985,11699062,4603388,,58830081
1674086400,2023-01-19,40777930,1284847,436085,11610936,4604236,,58714034
1674172800,2023-01-20,40777522,1295871,441281,11713618,4604236,,58832528
1674259200,2023-01-21,40782008,1318465,449918,11941824,4604236,,59096451
1674345600,2023-01-22,40786086,1312517,435333,11731751,4622887,,58888574
1674432000,2023-01-23,40795465,1391436,440482,12038809,4622887,,59289079
1674518400,2023-01-24,40777948,1351468,428722,11830603,4628208,,59016949
1674604800,2023-01-25,40786022,1333030,422886,11567642,4628208,,58737788
1674691200,2023-01-26,40782008,1349823,429099,11765978,4628208,,58955116
1674777600,2023-01-27,40788292,1344726,432269,11942871,4629680,,59137838
1674864000,2023-01-28,40790163,1345345,432269,11944713,4629680,,59142170
1674950400,2023-01-29,40794239,1354240,432269,11947399,4620565,,59148712
1675036800,2023-01-30,40783809,1362816,432269,11955752,4620565,,59155211
1675123200,2023-01-31,40779168,1358340,432269,11958406,4620565,,59148748
1675209600,2023-02-01,40785871,1358535,432269,11954323,4615787,,59146785
1675296000,2023-02-02,40782703,1369780,432269,11956675,4634491,,59175918
1675382400,2023-02-03,40786901,1372917,432269,11958879,4634491,,59185457
1675468800,2023-02-04,40782008,1374068,432269,11961178,4634491,,59184014
1675555200,2023-02-05,40786493,1374837,432269,11964618,4594843,,59153060
1675641600,2023-02-06,40787348,1372809,432269,11967141,4594843,,59154410
1675728000,2023-02-07,40781853,1375308,432269,11973427,4560531,,59123388
1675814400,2023-02-08,40783666,1382408,432269,11976216,4560531,,59135090
1675900800,2023-02-09,40779966,1395113,432269,11988857,4506878,,59103083
1675987200,2023-02-10,40784454,1386757,432269,11991208,4510556,,59105244
1676073600,2023-02-11,40782008,1401410,432269,11993534,4489170,,59098391
1676160000,2023-02-12,40783236,1401410,432269,11995845,4489170,,59101930
1676246400,2023-02-13,40782823,1399712,432269,11998151,4489170,,59102125
1676332800,2023-02-14,40798761,1387536,432269,12010308,4506979,,59135853
1676419200,2023-02-15,40794241,1386328,432269,12012614,4506979,,59132431
1676505600,2023-02-16,40787437,1399387,432269,12033650,4479541,,59132284
1676592000,2023-02-17,40781600,1400604,432269,12036396,4479541,,59130410
1676678400,2023-02-18,40777930,1403028,432269,12055838,4479541,,59148606
1676764800,2023-02-19,40789544,1401299,432269,12057781,4500928,,59181821
1676851200,2023-02-20,40789522,1394238,432269,12058391,4486604,,59161024
1676937600,2023-02-21,40780572,1397866,432269,12061058,4486604,,59158369
1677024000,2023-02-22,40782963,1399850,432269,12071339,4486604,,59173025
1677110400,2023-02-23,40782598,1420495,432269,12088044,4454329,,59177735
1677196800,2023-02-24,40782600,1420495,432269,12088550,4454329,,59178243
1677283200,2023-02-25,40778542,1420495,432269,12093803,4440450,,59165559
1677369600,2023-02-26,40781865,1420495,432269,12098199,4440450,,59173278
1677456000,2023-02-27,40777930,1420495,432269,12100422,4440450,,59171566
1677542400,2023-02-28,40777930,1420495,432269,12103243,4455997,,59189934
1677628800,2023-03-01,43782308,1407987,432269,13606053,4455997,,63684614
1677715200,2023-03-02,43782731,1406634,432269,13611854,4451322,,63684810
1677801600,2023-03-03,43778087,1407481,432269,13614444,4451322,,63683603
1677888000,2023-03-04,43780557,1407893,432269,13617183,4451322,,63689224
1677974400,2023-03-05,43779681,1394550,432269,13619768,4469431,,63695699
1678060800,2023-03-06,43782308,1394550,432269,13621457,4469431,,63700015
1678147200,2023-03-07,43776617,1399050,432269,13639098,4430305,,63677339
1678233600,2023-03-08,43773642,1404107,432269,13641599,4430305,,63681922
1678320000,2023-03-09,43773552,1396640,432269,13647743,4430305,,63680509
1678406400,2023-03-10,43773552,1369950,382269,14176276,4446143,,64148190
1678492800,2023-03-11,43909264,1351526,382269,14268427,4471529,,64383015
1678579200,2023-03-12,43777930,1276157,370348,11376014,4471529,,61271978
1678665600,2023-03-13,44215709,1280349,376294,11459896,4471529,,61803777
1678752000,2023-03-14,36925042,1286021,378183,11270996,4503674,,54363916
1678838400,2023-03-15,36814708,1289854,381086,11315080,4503674,,54304402
1678924800,2023-03-16,36998598,1309292,382142,11340300,4457752,,54488084
1679011200,2023-03-17,36998598,1350887,381131,11307230,4457752,,54495598
1679097600,2023-03-18,36961820,1388250,384945,11379460,4457752,,54572227
1679184000,2023-03-19,37072153,1362901,380915,11356476,4525711,,54698156
1679270400,2023-03-20,37035376,1397411,388003,11458128,4501873,,54780791
1679356800,2023-03-21,37182487,1360559,379073,11295403,4501873,,54719395
1679443200,2023-03-22,36998598,1364670,384180,11419096,4501873,,54668417
1679529600,2023-03-23,36998598,1384586,387239,11227871,4564969,,54563263
1679616000,2023-03-24,36961820,1382761,382028,11418042,4564969,,54709620
1679702400,2023-03-25,37035376,1399972,379842,11465035,4526106,,54806331
1679788800,2023-03-26,37072153,1394493,365999,11398139,4526106,,54756890
1679875200,2023-03-27,36814708,1387431,375138,11435115,4526106,,54538498
1679961600,2023-03-28,36814708,1371480,364104,11423921,4538656,,54512869
1680048000,2023-03-29,36814708,1387069,373248,11409703,4553956,,54538684
1680134400,2023-03-30,36777930,1378490,377230,11455061,4553956,,54542667
1680220800,2023-03-31,36888264,1385370,370298,11445326,4553956,,54643214
1680307200,2023-04-01,36814708,1394238,373017,11484891,4564349,,54631203
1680393600,2023-04-02,36814708,1398493,374093,11452750,4564349,,54604393
1680480000,2023-04-03,36851486,1430908,367350,11450684,4580847,,54681275
1680566400,2023-04-04,36851486,1423399,373119,11491725,4580847,,54720576
1680652800,2023-04-05,36814708,1388888,363070,11444600,4471779,,54483045
1680739200,2023-04-06,36814708,1391563,375198,11452725,4470307,,54504501
1680825600,2023-04-07,36814708,1364960,369439,11416423,4470307,,54435837
1680912000,2023-04-08,36814708,1383378,366494,11436381,4507743,,54508704
1680998400,2023-04-09,36851486,1382528,367069,11512978,4507743,,54621804
1681084800,2023-04-10,36777930,1385227,367546,11488261,4507743,,54526707
1681171200,2023-04-11,36851486,1380499,365449,11415588,4456599,,54469621
1681257600,2023-04-12,36814708,1376592,361699,11473991,4456599,,54483589
1681344000,2023-04-13,36851486,1382818,365176,11522545,4531298,,54653323
1681430400,2023-04-14,36888264,1386692,371345,11492282,4531298,,54669881
1681516800,2023-04-15,36851486,1364634,375875,11396513,4531298,,54519806
1681603200,2023-04-16,36814708,1367034,378461,11507587,4552025,,54619815
1681689600,2023-04-17,36777930,1358442,378698,11471547,4479107,,54465724
1681776000,2023-04-18,36814708,1373665,373521,11442821,4479107,,54483822
1681862400,2023-04-19,36777930,1372044,375150,11465291,4533730,,54524145
1681948800,2023-04-20,36814708,1363892,378500,11486091,4545011,,54588202
1682035200,2023-04-21,36777930,1364447,371793,11319117,4545011,,54378298
1682121600,2023-04-22,36777930,1362464,362365,11219006,4605048,,54326813
1682208000,2023-04-23,36814708,1373840,365377,11418056,4605048,,54577029
1682294400,2023-04-24,36814708,1361433,361664,11516394,4605048,,54659247
1682380800,2023-04-25,36814708,1361698,327200,11467252,4588845,,54559703
1682467200,2023-04-26,36777930,1386761,333695,11267840,4583797,,54350023
1682553600,2023-04-27,36888264,1399170,339905,11319616,4583797,,54530752
1682640000,2023-04-28,36851486,1376598,337072,11356265,4583797,,54505218
1682726400,2023-04-29,36851486,1373604,335364,11398773,4617781,,54577008
1682812800,2023-04-30,36814708,1376285,336924,11223506,4617781,,54369204
1682899200,2023-05-01,36814708,1369520,334471,11219012,4552046,,54289757
1682985600,2023-05-02,36814708,1367063,330752,11268882,4552046,,54333451
1683072000,2023-05-03,36851486,1368484,333348,11386640,4552046,,54492004
1683158400,2023-05-04,36814708,1382450,335883,11382809,4593538,,54509388
1683244800,2023-05-05,36777930,1371589,333650,11369615,4652414,,54505198
1683331200,2023-05-06,36851486,1373378,336769,11271475,4652414,,54485522
1683417600,2023-05-07,36851486,1365996,328526,11287083,4652414,,54485505
1683504000,2023-05-08,36768993,1359204,330197,11381467,4572620,,54412481
1683590400,2023-05-09,36814708,1320851,330609,11273999,4572620,,54312787
1683676800,2023-05-10,36851486,1315521,329930,11390018,4557785,,54444740
1683763200,2023-05-11,36814708,1324013,329846,11448434,4557785,,54474786
1683849600,2023-05-12,36814708,1303546,331279,11451181,4557785,,54458499
1683936000,2023-05-13,36851486,1311597,333745,11562697,4539985,,54599510
1684022400,2023-05-14,36814708,1308630,328274,11523999,4539985,,54515596
1684108800,2023-05-15,36814708,1305291,330337,11613363,4512503,,54576202
1684195200,2023-05-16,36814708,1312333,333157,11578748,4512503,,54551449
1684281600,2023-05-17,36814708,1330650,334678,11617996,4512503,,54610535
1684368000,2023-05-18,36777930,1324286,333135,11557057,4497743,,54490151
1684454400,2023-05-19,36777930,1332069,332965,11569186,4497743,,54509893
1684540800,2023-05-20,36777930,1324148,331720,11580632,4489263,,54503693
1684627200,2023-05-21,36814708,1326444,331656,11488684,4489263,,54450755
1684713600,2023-05-22,36777930,1321155,331579,11580344,4489263,,54500271
1684800000,2023-05-23,36777930,1313006,329810,11588274,3945933,,53954953
1684886400,2023-05-24,36814708,1312847,330657,11634312,3925774,,54018298
1684972800,2023-05-25,36777930,1311716,329141,11606555,3925774,,53951116
1685059200,2023-05-26,36771200,1316381,328969,11588186,3925774,,53930510
1685145600,2023-05-27,36777930,1311062,330570,11630652,3916939,,53967153
1685232000,2023-05-28,36769876,1316281,332277,11542629,3916939,,53878002
1685318400,2023-05-29,36814708,1333853,335012,11658071,3907923,,54049567
1685404800,2023-05-30,36760166,1329995,333600,11475144,3907923,,53806828
1685491200,2023-05-31,36766786,1320734,332159,11525920,3907923,,53853522
1685577600,2023-06-01,36814708,1331020,332868,11606883,3903117,,53988596
1685664000,2023-06-02,36776606,1314501,326971,11587468,3903117,,53908663
1685750400,2023-06-03,36814708,1333341,334080,12601875,3910435,,54994439
1685836800,2023-06-04,36777930,1333341,335012,12589778,3910435,,54946496
1685923200,2023-06-05,36777930,1318558,329667,12566218,3910435,,54902808
1686009600,2023-06-06,36777930,1329879,332640,12659431,3909606,,55009486
1686096000,2023-06-07,36776827,1313643,330088,12031001,3909606,,54361165
1686182400,2023-06-08,36814708,1317185,326075,12504760,3935505,,54898233
1686268800,2023-06-09,36851486,1233474,325212,12621871,3935505,,54967548
1686355200,2023-06-10,36776753,1202735,323919,12590808,3935505,,54829720
1686441600,2023-06-11,36814708,1097166,330648,12380919,3925027,,54548468
1686528000,2023-06-12,36814708,1083944,325045,12190728,3928258,,54342683
1686614400,2023-06-13,36770501,1093306,328106,12105783,3928258,,54225954
1686700800,2023-06-14,36777930,1111919,329435,12089122,3928258,,54236664
1686787200,2023-06-15,36777930,1124831,325986,12087545,3957879,,54274171
1686873600,2023-06-16,36719380,1091519,326645,12125813,3957879,,54221236
1686960000,2023-06-17,36752296,1100964,327137,12154439,3999123,,54333959
1687046400,2023-06-18,36770133,1106295,329180,12149883,3999123,,54354614
1687132800,2023-06-19,36763954,1106529,328681,12158629,3999123,,54356916
1687219200,2023-06-20,36762115,1113023,329966,12194371,3987149,,54386624
1687305600,2023-06-21,36888264,1121193,332188,12195420,3987149,,54524214
1687392000,2023-06-22,36762446,1134312,335506,12146558,3998786,,54377608
1687478400,2023-06-23,36749795,1114905,328455,12082401,3998786,,54274342
1687564800,2023-06-24,36752516,1123064,329474,12100525,3998786,,54304365
1687651200,2023-06-25,36851486,1127970,330068,12112207,3984499,,54406230
1687737600,2023-06-26,36766639,1121519,328613,11978369,3984499,,54179639
1687824000,2023-06-27,36777158,1127933,326009,12159835,3999557,,54390492
1687910400,2023-06-28,36888264,1110434,323552,12159675,3999557,,54481482
1687996800,2023-06-29,36738725,1116214,323649,12158338,3999557,,54336483
1688083200,2023-06-30,36770832,1125398,324899,12185146,3966658,,54372933
1688169600,2023-07-01,36777930,1145781,330606,12129187,3984499,,54368003
1688256000,2023-07-02,36770391,1140490,326964,12145148,3984499,,54367492
1688342400,2023-07-03,36772082,1144975,328640,12287738,3984499,,54517934
1688428800,2023-07-04,36777930,1136716,305709,12246624,3983351,,54450330
1688515200,2023-07-05,36777930,1143508,304208,12192644,3928784,,54347074
1688601600,2023-07-06,36760975,1135063,303595,12233528,3920369,,54353530
1688688000,2023-07-07,36756672,1123093,303508,12257032,3920369,,54360674
1688774400,2023-07-08,36814708,1135410,305290,12300764,3920369,,54476541
1688860800,2023-07-09,36777930,1141866,308273,12327832,3949200,,54505101
1688947200,2023-07-10,36750163,1109197,299703,12228090,3962000,,54349153
1689033600,2023-07-11,36768552,1127211,305052,12281693,3962000,,54444508
1689120000,2023-07-12,36777930,1143597,309196,12333997,3962000,,54526720
1689206400,2023-07-13,36777930,1144173,305842,12291287,4010651,,54529883
1689292800,2023-07-14,36814708,1129245,307657,12254689,4010651,,54516950
1689379200,2023-07-15,36814708,1148951,306536,12294792,4045139,,54610126
1689465600,2023-07-16,36814708,1145266,305117,12290592,4045139,,54600822
1689552000,2023-07-17,36777930,1158068,305123,12294242,4045139,,54580502
1689638400,2023-07-18,36777930,1170681,308273,12233148,4045999,,54536031
1689724800,2023-07-19,36777930,1149066,302870,12092222,4033817,,54355905
1689811200,2023-07-20,36767264,1157086,304858,12195383,4033817,,54458408
1689897600,2023-07-21,36777930,1162589,302471,12203733,2862889,,53309612
1689984000,2023-07-22,36777930,1168225,303957,12272212,2844420,,53366744
1690070400,2023-07-23,36814708,1131756,293592,12101500,2844420,,53185976
1690156800,2023-07-24,36777930,1169234,305452,12006878,2826606,,53086100
1690243200,2023-07-25,36772855,1160471,302514,12206645,2826606,,53269091
1690329600,2023-07-26,36777930,1171941,302963,12299794,2826606,,53379234
1690416000,2023-07-27,36814708,1155230,302833,12301522,2830445,,53404738
1690502400,2023-07-28,36775834,1158652,305089,12278297,2830445,,53348317
1690588800,2023-07-29,36777930,1166663,308273,12354414,2818533,,53425813
1690675200,2023-07-30,36764984,1160927,305873,12361637,2818533,,53411954
1690761600,2023-07-31,36777930,1158311,307965,12390452,2818533,,53453191
1690848000,2023-08-01,36774988,1156540,303476,12350268,2809684,,53394956
1690934400,2023-08-02,36770280,1182868,308811,12361158,2809684,,53432801
1691020800,2023-08-03,36768809,1151804,300590,12342773,2797992,,53361968
1691107200,2023-08-04,36759909,1155142,299849,12319665,2797992,,53332557
1691193600,2023-08-05,36716952,1163821,301778,12304315,2797992,,53284858
1691280000,2023-08-06,36738614,1163057,302052,12155383,2817125,,53176231
1691366400,2023-08-07,36713311,1147969,300960,12076907,2811220,,53050367
1691452800,2023-08-08,36731774,1142470,301008,12383177,2811220,,53369649
1691539200,2023-08-09,36763145,1131017,301539,12390889,2811220,,53397810
1691625600,2023-08-10,36723903,1133392,299603,12304787,2804706,,53266391
1691712000,2023-08-11,36710516,1137815,301778,12399296,2804706,,53354111
1691798400,2023-08-12,36748802,1138107,302353,12368854,2799386,,53357502
1691884800,2023-08-13,36758033,1132886,302032,12359728,2799386,,53352065
1691971200,2023-08-14,36758217,1130429,299188,12381838,2799386,,53369058
1692057600,2023-08-15,36751156,1134661,300576,12333607,2786949,,53306949
1692144000,2023-08-16,36743874,1118143,303845,12401849,2786949,,53354660
1692230400,2023-08-17,36701101,1086033,298219,12263871,2778397,,53127621
1692316800,2023-08-18,36742770,1050590,299475,12352228,2778397,,53223460
1692403200,2023-08-19,36762410,1057296,293227,12414038,2778397,,53305368
