Timestamp,Date,USDT,USDC,BUSD,DAI,FRAX,TUSD,USN,Total
1668470400,2022-11-15,36081178,35306728,102,6277998,,20572,36111750,113798328
1668556800,2022-11-16,35776231,35330199,102,6261210,,20587,36098894,113487223
1668643200,2022-11-17,35356669,35268439,102,6257468,,20562,36087873,112991113
1668729600,2022-11-18,34920137,33179819,102,6259176,,20611,36050903,110430748
1668816000,2022-11-19,36766480,33493041,102,6256396,,20549,36100623,112637191
1668902400,2022-11-20,35917657,33569651,102,6255204,,20539,36561084,112324237
1668988800,2022-11-21,35671544,33380175,102,6270818,,20621,36058142,111401402
1669075200,2022-11-22,35235687,33218969,102,6144407,,20584,36051650,110671399
1669161600,2022-11-23,34997349,33255319,102,6142709,,20634,36055246,110471359
1669248000,2022-11-24,34774861,32058804,102,6088993,,20571,36625064,109568395
1669334400,2022-11-25,34320471,32368511,102,6091477,,20578,36590749,109391888
1669420800,2022-11-26,33813127,31969343,102,6094528,,20562,36522089,108419751
1669507200,2022-11-27,33692844,31982795,102,6088757,,20561,36406421,108191480
1669593600,2022-11-28,33717600,32026441,102,6088996,,20548,36388347,108242034
1669680000,2022-11-29,33690360,32306266,102,6085202,,20539,36402711,108505180
1669766400,2022-11-30,33564242,32469415,102,6056007,,20578,36716919,108827263
1669852800,2022-12-01,35213904,32482505,102,6057658,,20570,36719800,110494539
1669939200,2022-12-02,33081446,32578186,102,6055588,,20559,37168310,108904191
1670025600,2022-12-03,32947038,32553971,102,6056853,,20559,36730332,108308855
1670112000,2022-12-04,32598578,32609315,102,6059416,,20556,36717285,108005252
1670198400,2022-12-05,32562031,32580956,102,6058958,,20552,36717209,107939808
1670284800,2022-12-06,32261938,32965903,102,5684725,,20550,36783269,107716487
1670371200,2022-12-07,34185638,32897989,102,5568872,,20546,36800012,109473159
1670457600,2022-12-08,33471275,32297021,102,5569716,,20552,36785243,108143909
1670544000,2022-12-09,35236280,32331087,102,5565176,,20556,36505287,109658488
1670630400,2022-12-10,32683112,32442250,102,5568470,,20541,36473983,107188458
1670716800,2022-12-11,32662401,32430973,102,5567326,,20547,36526367,107207716
1670803200,2022-12-12,32576331,32428067,102,5569524,,20560,36436555,107031139
1670889600,2022-12-13,31996226,33248374,102,5564725,,20591,36554645,107384663
1670976000,2022-12-14,31763806,33333604,102,5566500,,20586,36501574,107186172
1671062400,2022-12-15,31670340,34075565,102,5556091,,20584,35649473,106972155
1671148800,2022-12-16,31637876,34132052,102,5552047,,20569,35341563,106684209
1671235200,2022-12-17,31617800,34031883,102,5555657,,20571,36056546,107282559
1671321600,2022-12-18,31123184,34220673,102,5549238,,20558,36209654,107123409
1671408000,2022-12-19,30977883,34120648,102,5496560,,20560,36662065,107277818
1671494400,2022-12-20,30835817,34227121,102,5436678,,20548,35660685,106180951
1671580800,2022-12-21,30803472,34194369,102,5435597,,20553,36771960,107226053
1671667200,2022-12-22,30734009,34322541,102,5430801,,20555,36914195,107422203
1671753600,2022-12-23,30702219,34269610,102,5432399,,20547,37280039,107704916
1671840000,2022-12-24,30421527,34234306,102,5434327,,20577,36303517,106414356
1671926400,2022-12-25,30359993,34080350,102,5433518,,20588,36518217,106412768
1672012800,2022-12-26,30242963,34054344,102,5431765,,20580,36518217,106267971
1672099200,2022-12-27,30239516,33993565,102,5433068,,20558,36773339,106460148
1672185600,2022-12-28,30130287,33984360,102,5430557,,20558,36087334,105653198
1672272000,2022-12-29,29825103,33923069,102,5431424,,20586,36012697,105212981
1672358400,2022-12-30,29771755,33913047,102,5431152,,20569,36590349,105726974
