Date,TVL_USD,TVL_ALGO
2022-04-04 00:00:00,220956322,236606458
2022-04-05 00:00:00,219608089,248576561
2022-04-06 00:00:00,236678431,307694755
2022-04-07 00:00:00,219398124,273533643
2022-04-09 00:00:00,211888587,279578853
2022-04-10 00:00:00,215626953,273531885
2022-04-11 00:00:00,178578316,236567151
2022-04-13 00:00:00,205206156,282582214
2022-04-14 00:00:00,221863253,305315305
2022-04-15 00:00:00,199600105,269575141
2022-04-16 00:00:00,226397545,303700510
2022-04-17 00:00:00,228370501,321308345
2022-04-18 00:00:00,224724820,304247566
2022-04-19 00:00:00,229373589,301582531
2022-04-21 00:00:00,232392743,313648790
2022-04-22 00:00:00,223894658,311536206
2022-04-24 00:00:00,222467493,313316043
2022-04-26 00:00:00,217652616,309509021
2022-04-28 00:00:00,205974882,306904996
2022-04-29 00:00:00,212889574,304739023
2022-04-30 00:00:00,202181892,316657615
2022-05-01 00:00:00,189606085,333014655
2022-05-02 00:00:00,195732688,315390861
2022-05-03 00:00:00,193269426,288953548
2022-05-04 00:00:00,203526008,284951995
2022-05-05 00:00:00,216479923,340102057
2022-05-07 00:00:00,212723065,305040864
2022-05-08 00:00:00,222513428,306830983
2022-05-09 00:00:00,221416076,380922114
2022-05-10 00:00:00,195885912,335241658
2022-05-12 00:00:00,167151854,374268995
2022-05-13 00:00:00,147311958,333202768
2022-05-14 00:00:00,159167095,342531569
2022-05-15 00:00:00,159386619,324345022
2022-05-16 00:00:00,167109242,364925890
2022-05-18 00:00:00,168347321,339513377
2022-05-19 00:00:00,158041733,364033551
2022-05-20 00:00:00,161504948,370531642
2022-05-22 00:00:00,158761701,365131049
2022-05-23 00:00:00,162522130,390791392
2022-05-25 00:00:00,157007822,375528303
2022-05-26 00:00:00,157253985,412020527
2022-05-28 00:00:00,150985961,419414695
2022-05-29 00:00:00,145152989,383191276
2022-05-30 00:00:00,153044746,364798852
2022-05-31 00:00:00,172772959,420066003
2022-06-01 00:00:00,183922338,477229944
2022-06-02 00:00:00,153291498,387687092
2022-06-04 00:00:00,152421308,399999523
2022-06-05 00:00:00,153798636,393200350
2022-06-07 00:00:00,147055417,355880441
2022-06-09 00:00:00,155510777,372971434
2022-06-10 00:00:00,158186275,428672755
2022-06-12 00:00:00,139037058,400629025
2022-06-13 00:00:00,132663783,438843741
2022-06-15 00:00:00,123992208,400776457
2022-06-17 00:00:00,119528694,395276428
2022-06-18 00:00:00,120761795,388124171
2022-06-20 00:00:00,117041132,371900919
2022-06-21 00:00:00,118894450,371253272
2022-06-22 00:00:00,116649807,358423360
2022-06-23 00:00:00,116216791,370027869
2022-06-24 00:00:00,120395584,358092262
2022-06-25 00:00:00,123878537,352749476
2022-06-26 00:00:00,123632396,351563188
2022-06-27 00:00:00,120832617,362524356
2022-06-29 00:00:00,116911685,373346007
2022-07-01 00:00:00,116572672,372669768
2022-07-02 00:00:00,117699206,385546626
2022-07-03 00:00:00,114785800,372571431
2022-07-04 00:00:00,114410191,368885286
2022-07-05 00:00:00,119803830,374646370
2022-07-06 00:00:00,118136290,383218448
2022-07-07 00:00:00,119708686,384613634
2022-07-08 00:00:00,125250843,387746152
2022-07-09 00:00:00,124781707,395375039
2022-07-10 00:00:00,125282689,388869239
2022-07-11 00:00:00,138065559,444790562
2022-07-12 00:00:00,166798457,560838535
2022-07-13 00:00:00,184515453,628214368
2022-07-14 00:00:00,196570971,633605098
2022-07-15 00:00:00,205813283,624893714
2022-07-16 00:00:00,207074774,632162622
2022-07-17 00:00:00,212820912,626392720
